title,synopsis,genres
Fullmetal Alchemist: Brotherhood,"['something', 'obtained', 'something', 'alchemy', 'equivalent', 'exchange', 'something', 'brothers', 'edward', 'alphonse', 'realize', 'attempting', 'transmutation', 'forbidden', 'alchemy', 'terrible', 'transgression', 'edward', 'alphonse', 'physical', 'desperate', 'sacrifice', 'edward', 'alphonse', 'devastated', 'eventually', 'return', 'original', 'bodies', 'edward', 'inspiration', 'obtain', 'called', 'automail', 'become', 'alchemist', 'fullmetal', 'alchemist', 'searching', 'brothers', 'philosopher', 'mythical', 'allows', 'alchemist', 'overcome', 'equivalent', 'exchange', 'allies', 'colonel', 'mustang', 'lieutenant', 'hawkeye', 'lieutenant', 'colonel', 'hughes', 'brothers', 'themselves', 'caught', 'nationwide', 'conspiracy', 'nature', 'elusive', 'philosopher', 'country', 'history', 'between', 'finding', 'serial', 'killer', 'racing', 'against', 'edward', 'alphonse', 'themselves', 'humanity', 'written', 'rewrite']","['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen']"
One Punch Man,"['seemingly', 'ordinary', 'unimpressive', 'saitama', 'rather', 'unique', 'pursue', 'childhood', 'trained', 'relentlessly', 'process', 'saitama', 'incredibly', 'powerful', 'defeat', 'battle', 'defeat', 'evildoers', 'unexpected', 'problem', 'longer', 'thrill', 'battling', 'become', 'changes', 'arrival', 'cyborg', 'wishes', 'saitama', 'disciple', 'seeing', 'capable', 'proposes', 'association', 'become', 'certified', 'heroes', 'recognized', 'positive', 'contributions', 'society', 'saitama', 'shocked', 'quickly', 'agrees', 'begins', 'follows', 'eccentric', 'individual', 'strong', 'enemies', 'hopefully', 'excitement', 'become', 'popular', 'process', 'written', 'rewrite']","['Action', 'Sci-Fi', 'Comedy', 'Parody', 'Super Power', 'Supernatural']"
No Game No Life,"['surreal', 'follows', 'siblings', 'online', 'behind', 'legendary', 'username', 'another', 'however', 'strange', 'challenging', 'changes', 'everything', 'brother', 'sister', 'plunged', 'otherworldly', 'mysterious', 'welcomes', 'disboard', 'conflict', 'squabbles', 'countries', 'settled', 'through', 'system', 'thanks', 'fundamental', 'wherein', 'something', 'strange', 'humanity', 'reduced', 'indifferent', 'genius', 'finally', 'reason', 'playing', 'sixteen', 'disboard', 'defeat', 'become', 'gaming', 'everything', 'written', 'rewrite']","['Game', 'Adventure', 'Comedy', 'Supernatural', 'Ecchi', 'Fantasy']"
Naruto,"['moments', 'naruto', 'uzumaki', 'kyuubi', 'tailed', 'attacked', 'konohagakure', 'hidden', 'village', 'wreaked', 'kyuubi', 'rampage', 'leader', 'village', 'fourth', 'hokage', 'sacrificed', 'sealed', 'monstrous', 'inside', 'newborn', 'naruto', 'naruto', 'hyperactive', 'knuckle', 'headed', 'living', 'konohagakure', 'shunned', 'because', 'kyuubi', 'inside', 'naruto', 'struggles', 'village', 'burning', 'desire', 'become', 'hokage', 'konohagakure', 'friends', 'deadly', 'written', 'rewrite']","['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']"
Boku no Hero Academia,"['appearance', 'quirks', 'discovered', 'powers', 'steadily', 'increasing', 'percent', 'humanity', 'possessing', 'various', 'abilities', 'manipulation', 'elements', 'shapeshifting', 'leaves', 'remainder', 'completely', 'powerless', 'midoriya', 'individual', 'ambitious', 'middle', 'schooler', 'wanted', 'nothing', 'unfair', 'leaves', 'admiring', 'heroes', 'taking', 'whenever', 'persistence', 'number', 'personal', 'unique', 'ability', 'inherited', 'chosen', 'successor', 'enduring', 'months', 'grueling', 'training', 'enrolls', 'prestigious', 'famous', 'excellent', 'training', 'program', 'freshmen', 'especially', 'promising', 'bizarre', 'talented', 'classmates', 'looming', 'threat', 'villainous', 'organization', 'really', 'written', 'rewrite']","['Action', 'Comedy', 'School', 'Shounen', 'Super Power']"
Angel Beats!,"['otonashi', 'awakens', 'toting', 'explains', 'afterlife', 'otonashi', 'realizes', 'remember', 'himself', 'shinda', 'sensen', 'afterlife', 'battlefront', 'against', 'tenshi', 'unable', 'believe', 'claims', 'tenshi', 'otonashi', 'attempts', 'encounter', 'intended', 'otonashi', 'decides', 'battle', 'tenshi', 'himself', 'trying', 'regain', 'memories', 'understand', 'tenshi', 'gradually', 'unravels', 'mysteries', 'afterlife', 'written', 'rewrite']","['Action', 'Comedy', 'Drama', 'School', 'Supernatural']"
Toradora!,"['ryuuji', 'takasu', 'gentle', 'student', 'housework', 'contrast', 'nature', 'intimidating', 'labeled', 'delinquent', 'aisaka', 'student', 'anything', 'fragile', 'equipped', 'wooden', 'katana', 'feisty', 'personality', 'throughout', 'palmtop', 'embarrassing', 'mistake', 'causes', 'students', 'ryuuji', 'discovers', 'actually', 'popular', 'president', 'yuusaku', 'kitamura', 'happens', 'friend', 'things', 'crazier', 'ryuuji', 'reveals', 'minori', 'kushieda', 'friend', 'toradora', 'romantic', 'follows', 'embark', 'respective', 'crushes', 'forming', 'unlikely', 'alliance', 'process', 'written', 'rewrite']","['Slice of Life', 'Comedy', 'Romance', 'School']"
Noragami,"['strange', 'telephone', 'number', 'scrawled', 'number', 'introduce', 'himself', 'proclaimed', 'delivery', 'dreams', 'having', 'millions', 'worshippers', 'without', 'single', 'shrine', 'dedicated', 'however', 'realized', 'spends', 'apiece', 'weapon', 'partner', 'becomes', 'useless', 'master', 'deserts', 'things', 'looking', 'fortune', 'changes', 'middle', 'hiyori', 'supposedly', 'accident', 'taking', 'remarkably', 'survives', 'caused', 'become', 'hiyori', 'demands', 'return', 'normal', 'learning', 'partner', 'reluctantly', 'agrees', 'hiyori', 'finally', 'turning', 'around', 'written', 'rewrite']","['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']"
Naruto: Shippuuden,"['naruto', 'uzumaki', 'konohagakure', 'hidden', 'village', 'intense', 'training', 'following', 'events', 'fueled', 'desire', 'stronger', 'akatsuki', 'mysterious', 'organization', 'closing', 'threaten', 'safety', 'entire', 'shinobi', 'although', 'naruto', 'sinister', 'events', 'horizon', 'changed', 'little', 'personality', 'rambunctious', 'childish', 'though', 'confident', 'possesses', 'greater', 'determination', 'protect', 'friends', 'whatever', 'naruto', 'important', 'expense', 'continuation', 'wishes', 'become', 'hokage', 'written', 'rewrite']","['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']"
Boku no Hero Academia 2nd Season,"['academy', 'violent', 'attack', 'disrupt', 'prestigious', 'festival', 'renowned', 'across', 'festival', 'opportunity', 'aspiring', 'heroes', 'showcase', 'abilities', 'public', 'potential', 'recruiters', 'however', 'especially', 'midoriya', 'possesses', 'cripplingly', 'inefficient', 'pitted', 'against', 'talented', 'classmates', 'wielding', 'shouto', 'todoroki', 'utilize', 'master', 'surroundings', 'achieve', 'victory', 'written', 'rewrite']","['Action', 'Comedy', 'Super Power', 'School', 'Shounen']"
