title,synopsis,genres
Shingeki no Kyojin,"['centuries', 'mankind', 'slaughtered', 'extinction', 'monstrous', 'humanoid', 'creatures', 'called', 'titans', 'forcing', 'humans', 'behind', 'enormous', 'concentric', 'giants', 'terrifying', 'hunger', 'appears', 'pleasure', 'ensure', 'survival', 'remnants', 'humanity', 'living', 'within', 'defensive', 'barriers', 'resulting', 'hundred', 'without', 'single', 'encounter', 'however', 'fragile', 'shattered', 'colossal', 'manages', 'breach', 'supposedly', 'impregnable', 'reigniting', 'survival', 'against', 'eating', 'abominations', 'witnessing', 'horrific', 'personal', 'invading', 'creatures', 'yeager', 'dedicates', 'eradication', 'enlisting', 'survey', 'combats', 'merciless', 'humanoids', 'outside', 'protection', 'hajime', 'isayama', 'winning', 'shingeki', 'kyojin', 'follows', 'adopted', 'sister', 'mikasa', 'ackerman', 'childhood', 'friend', 'arlert', 'brutal', 'against', 'titans', 'discover', 'defeating', 'before', 'breached', 'written', 'rewrite']","['Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen']"
Sword Art Online,"['virtual', 'reality', 'progressed', 'bounds', 'massive', 'online', 'playing', 'called', 'online', 'launched', 'nervegear', 'technology', 'players', 'control', 'avatars', 'within', 'nothing', 'thoughts', 'kazuto', 'kirigaya', 'nicknamed', 'kirito', 'enthusiasts', 'shipment', 'himself', 'thousand', 'others', 'scenic', 'elaborate', 'aincrad', 'fantastic', 'medieval', 'weapons', 'gruesome', 'monsters', 'however', 'events', 'players', 'realize', 'cannot', 'creator', 'trapped', 'complete', 'hundred', 'levels', 'escape', 'aincrad', 'kirito', 'interact', 'cooperate', 'fellow', 'players', 'allies', 'others', 'commands', 'leading', 'attempting', 'escape', 'ruthless', 'matters', 'online', 'aincrad', 'kirito', 'reality', 'survival', 'hopefully', 'virtual', 'written', 'rewrite']","['Action', 'Adventure', 'Fantasy', 'Game', 'Romance']"
Fullmetal Alchemist: Brotherhood,"['something', 'obtained', 'something', 'alchemy', 'equivalent', 'exchange', 'something', 'brothers', 'edward', 'alphonse', 'realize', 'attempting', 'transmutation', 'forbidden', 'alchemy', 'terrible', 'transgression', 'edward', 'alphonse', 'physical', 'desperate', 'sacrifice', 'edward', 'alphonse', 'devastated', 'eventually', 'return', 'original', 'bodies', 'edward', 'inspiration', 'obtain', 'called', 'automail', 'become', 'alchemist', 'fullmetal', 'alchemist', 'searching', 'brothers', 'philosopher', 'mythical', 'allows', 'alchemist', 'overcome', 'equivalent', 'exchange', 'allies', 'colonel', 'mustang', 'lieutenant', 'hawkeye', 'lieutenant', 'colonel', 'hughes', 'brothers', 'themselves', 'caught', 'nationwide', 'conspiracy', 'nature', 'elusive', 'philosopher', 'country', 'history', 'between', 'finding', 'serial', 'killer', 'racing', 'against', 'edward', 'alphonse', 'themselves', 'humanity', 'written', 'rewrite']","['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen']"
One Punch Man,"['seemingly', 'ordinary', 'unimpressive', 'saitama', 'rather', 'unique', 'pursue', 'childhood', 'trained', 'relentlessly', 'process', 'saitama', 'incredibly', 'powerful', 'defeat', 'battle', 'defeat', 'evildoers', 'unexpected', 'problem', 'longer', 'thrill', 'battling', 'become', 'changes', 'arrival', 'cyborg', 'wishes', 'saitama', 'disciple', 'seeing', 'capable', 'proposes', 'association', 'become', 'certified', 'heroes', 'recognized', 'positive', 'contributions', 'society', 'saitama', 'shocked', 'quickly', 'agrees', 'begins', 'follows', 'eccentric', 'individual', 'strong', 'enemies', 'hopefully', 'excitement', 'become', 'popular', 'process', 'written', 'rewrite']","['Action', 'Sci-Fi', 'Comedy', 'Parody', 'Super Power', 'Supernatural']"
Tokyo Ghoul,"['become', 'merciless', 'vicious', 'creatures', 'called', 'ghouls', 'alongside', 'humans', 'citizens', 'metropolis', 'constant', 'bloodthirsty', 'savages', 'thirst', 'however', 'greatest', 'threat', 'ghouls', 'dangerous', 'ability', 'masquerade', 'humans', 'society', 'selling', 'ishida', 'follows', 'kaneki', 'bookish', 'college', 'student', 'instantly', 'kamishiro', 'reader', 'himself', 'however', 'exactly', 'unfortunate', 'meeting', 'pushes', 'kaneki', 'depths', 'ghouls', 'inhuman', 'kaneki', 'enigmatic', 'waitress', 'kirishima', 'begins', 'secret', 'integrate', 'societies', 'written', 'rewrite']","['Action', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Seinen']"
Naruto,"['moments', 'naruto', 'uzumaki', 'kyuubi', 'tailed', 'attacked', 'konohagakure', 'hidden', 'village', 'wreaked', 'kyuubi', 'rampage', 'leader', 'village', 'fourth', 'hokage', 'sacrificed', 'sealed', 'monstrous', 'inside', 'newborn', 'naruto', 'naruto', 'hyperactive', 'knuckle', 'headed', 'living', 'konohagakure', 'shunned', 'because', 'kyuubi', 'inside', 'naruto', 'struggles', 'village', 'burning', 'desire', 'become', 'hokage', 'konohagakure', 'friends', 'deadly', 'written', 'rewrite']","['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']"
Boku no Hero Academia,"['appearance', 'quirks', 'discovered', 'powers', 'steadily', 'increasing', 'percent', 'humanity', 'possessing', 'various', 'abilities', 'manipulation', 'elements', 'shapeshifting', 'leaves', 'remainder', 'completely', 'powerless', 'midoriya', 'individual', 'ambitious', 'middle', 'schooler', 'wanted', 'nothing', 'unfair', 'leaves', 'admiring', 'heroes', 'taking', 'whenever', 'persistence', 'number', 'personal', 'unique', 'ability', 'inherited', 'chosen', 'successor', 'enduring', 'months', 'grueling', 'training', 'enrolls', 'prestigious', 'famous', 'excellent', 'training', 'program', 'freshmen', 'especially', 'promising', 'bizarre', 'talented', 'classmates', 'looming', 'threat', 'villainous', 'organization', 'really', 'written', 'rewrite']","['Action', 'Comedy', 'School', 'Shounen', 'Super Power']"
Angel Beats!,"['otonashi', 'awakens', 'toting', 'explains', 'afterlife', 'otonashi', 'realizes', 'remember', 'himself', 'shinda', 'sensen', 'afterlife', 'battlefront', 'against', 'tenshi', 'unable', 'believe', 'claims', 'tenshi', 'otonashi', 'attempts', 'encounter', 'intended', 'otonashi', 'decides', 'battle', 'tenshi', 'himself', 'trying', 'regain', 'memories', 'understand', 'tenshi', 'gradually', 'unravels', 'mysteries', 'afterlife', 'written', 'rewrite']","['Action', 'Comedy', 'Drama', 'School', 'Supernatural']"
Code Geass: Hangyaku no Lelouch,"['empire', 'britannia', 'establishing', 'itself', 'dominant', 'nation', 'starting', 'conquest', 'renamed', 'defeat', 'significant', 'resistance', 'against', 'tyrants', 'attempt', 'regain', 'independence', 'lelouch', 'lamperouge', 'britannian', 'student', 'unfortunately', 'himself', 'caught', 'crossfire', 'between', 'britannian', 'forces', 'escape', 'however', 'thanks', 'timely', 'appearance', 'mysterious', 'bestows', 'realizing', 'potential', 'newfound', 'absolute', 'obedience', 'lelouch', 'embarks', 'perilous', 'journey', 'masked', 'vigilante', 'leading', 'merciless', 'onslaught', 'against', 'britannia', 'revenge', 'written', 'rewrite']","['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha', 'School']"
Mirai Nikki,"['lonely', 'student', 'yukiteru', 'spends', 'writing', 'cellphone', 'conversing', 'seemingly', 'imaginary', 'friends', 'machina', 'murmur', 'servant', 'revealing', 'himself', 'actual', 'entity', 'grants', 'yukiteru', 'random', 'highly', 'descriptive', 'entries', 'future', 'forces', 'bloody', 'battle', 'royale', 'holders', 'similarly', 'powerful', 'future', 'diaries', 'person', 'standing', 'designated', 'yukiteru', 'survive', 'reluctantly', 'obsessive', 'stalker', 'possesses', 'herself', 'ensure', 'safety', 'unrequited', 'written', 'rewrite']","['Action', 'Mystery', 'Psychological', 'Shounen', 'Supernatural', 'Thriller']"
